rank,page,ad_type,ad_rank,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,scraped_at,inner_products_count
47,1,Organic,,B00X17S8Z8,Cotton Craft Ultra Soft 4 Pack Oversized Extra Large Bath Towels 30x54 White Weighs 22 Ounces - 100% Pure Ringspun Cotton - Luxurious Rayon Trim - Ideal for Everyday use - Easy Care Machine wash,N/A,CNY 238.95,,CNY 59.76,4.5,,,3 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71xwl-x7swL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xwl-x7swL._AC_SL1500_.jpg,2026-04-14T11:03:25.384172,
48,1,Organic,,B001DYHMLM,"Fromm Softees Microfiber Hair Towels, Absorbent Salon Hair Towels for Hairstylists, Barbers, Spa & Gym, Fast-Drying, Ultra-Soft, Lint-Free, Multi-Purpose Towels, 16"" x 29""- 10-Pack - Black",N/A,CNY 232.13,,CNY 23.22,4.6,,,2 sizes,,,"CNY 67.95 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81yDxAhSOfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yDxAhSOfL._AC_SL1500_.jpg,2026-04-14T11:03:25.395206,
49,1,Organic,,B0BTJBYRSY,"ZUPERIA 7-Pack Bath Towels - 30"" x 54"" - Ultra Soft 100% Cotton Large Bath Towels- Highly Absorbent for Bathroom, Pool, Gym, Spa, and Hotel Use (Colors Variety)",N/A,CNY 232.13,,CNY 33.19,4.0,,,,,Save 5%,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81hGwSXlq6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hGwSXlq6L._AC_SL1500_.jpg,2026-04-14T11:03:25.404792,
51,1,Organic,,B07SLR3T9F,"Hawmam Linen White Bath Towels 4 Pack 27 x 54 Inches 100% Turkish Cotton Soft Lightweight and Highly Absorbent Quick Drying Towels, Premium Quality Perfect for Daily Use",N/A,CNY 201.53,,CNY 50.40,4.3,,,8 sizes,,,"CNY 82.98 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81ep3f8V2QL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ep3f8V2QL._AC_SL1500_.jpg,2026-04-14T11:03:25.418086,
52,1,Organic,,B0D4CXX16H,"Amazon Basics Fade-Resistant 100% Cotton Bath Towel, 30""x54"", Teal Green, 2-Pack",N/A,CNY 161.31,,CNY 80.65,4.2,,,5 sizes,,,"CNY 111.18 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81eufHl4ABL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eufHl4ABL._AC_SL1500_.jpg,2026-04-14T11:03:25.456948,
53,1,Organic,,B0DL668H54,COTTON CRAFT Oversized Beach Towel - 2 Pack 35 x 70 inches XL Beach Towel - 100% Cotton Velour - Big & Huge - Thick Plush 450 GSM Super Soft Luxury Towel - Pool Picnic Bath - Cabana Stripe Black,N/A,CNY 215.05,,CNY 107.56,4.6,,,2 sizes,,,"CNY 111.18 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61XLibYASDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61XLibYASDL._AC_SL1500_.jpg,2026-04-14T11:03:25.472565,
54,1,Organic,,B07B9LMRPH,"Chakir Turkish Linens | Hotel & Spa Quality 100% Cotton Premium Turkish Towels | Soft & Absorbent (4-Piece Bath Towels, Gray)",N/A,CNY 233.49,,CNY 58.39,4.3,,,10 sizes,,,CNY 169.91 delivery Apr 21 - 27,,False,False,https://m.media-amazon.com/images/I/91VN6LbuEdL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VN6LbuEdL._AC_SL1500_.jpg,2026-04-14T11:03:25.488117,
55,1,Organic,,B0CPT14R69,"ZUPERIA White Bath Towels Bulk 12 Pack (20 x 40 Inches) - 100% Cotton Economy Light Weight Towels for Commercial Use - Quick Dry, Ultra-Soft, and Absorbent Bulk Towels",N/A,CNY 202.76,,CNY 16.87,3.9,,,2 sizes,,Save 5%,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81nDQei5XYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nDQei5XYL._AC_SL1500_.jpg,2026-04-14T11:03:25.497303,
56,1,Organic,,B091JGHYTH,"QUBA LINEN Hotel & Spa 100% Cotton Bath Towels Pack of 6, Ultra Soft, Quick Dry, Lightweight, Highly Absorbent, Perfect for Face, Hands, Spa, Gym, Hotel, Resort & Daily Use - Grey (24"" x 48"")",N/A,CNY 191.15,,CNY 31.89,3.4,,,2 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/910-5ZPtvZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910-5ZPtvZL._AC_SL1500_.jpg,2026-04-14T11:03:25.505818,
57,1,SB_Video,2.0,,N/A,N/A,,,,,,,,,,,,False,False,,,2026-04-14T11:03:25.509821,
2,2,Organic,,B0DWSY83M4,"Utopia Towels 6 Pack Bath Towel Set (27 x 54 Inches), 500 GSM 100% Ring Spun Cotton Medium Lightweight and Highly Absorbent Quick Drying, Premium Towels for Hotel, Spa and Bathroom (Grey)",N/A,,,,4.3,,,5 sizes,,,,,False,False,https://m.media-amazon.com/images/I/91NMunqj+rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NMunqj+rL._AC_SL1500_.jpg,2026-04-14T11:03:43.001905,
3,2,Organic,,B08WQCCVHC,"Tork Soft Xpress Multifold Paper Hand Towels White, H2 System Compatible 16 Packs X 135 Towels Each (MB579)",N/A,CNY 282.46,,CNY 13.04,4.6,,,,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/713L+j53nWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/713L+j53nWL._AC_SL1500_.jpg,2026-04-14T11:03:43.008476,
4,2,Organic,,B09P9L5WHB,"QUBA LINEN 100% Cotton Beach Towels, Cabana Stripe Beach Towel, Large Pool Towels, Highly Absorbent, Light Weight, Soft and Quick Dry Swim Towels, for Parties, Guests (Pack of 6)",N/A,CNY 252.61,,CNY 42.14,3.8,,,,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61sBT5m8InL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61sBT5m8InL._AC_SL1500_.jpg,2026-04-14T11:03:43.020191,
